ユニット名,"上位ユニット
完全名","ユニット
種別",位置情報,, サイズ ,,コメント,先行,"接続
種別","実行
エージェント","実行順序
制御","多重
起動","保存
世代数","優先
順位","上位のジョブネットに
依存する",有効範囲,"ジョブ
グループ名","排他
ジョブネット名","リンクする
ルール番号","開始
時刻","処理
サイクル",遅延監視,,起動条件,コマンド文
SLPRN_080MSTB024322225,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,14,11,,,create_week_list_master,SLPRN_080MSTI033132,seq,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-week-list-master -e BATCH_PROCESS_TARGET='63'
SLPRN_080MSTI0331,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,2,7,,,import_week_list,SLPRN_OSLP2405X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-week-list -e BATCH_PROCESS_TARGET=""1/01"" -e OUTBOUND_ID=OSLP2405X01BU01"
SLPRN_080MSTI03312,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,4,7,,,import_week_list,SLPRN_OSLP2405X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e BATCH_PROCESS_TARGET=""60/01"" -m import-week-list -e OUTBOUND_ID=OSLP2405X01BU60"
SLPRN_080MSTI033122,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,8,7,,,import_week_list,SLPRN_OSLP2405X01BU06,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e BATCH_PROCESS_TARGET=""6/06,6/26"" -e OUTBOUND_ID=OSLP2405X01BU06 -m import-week-list"
SLPRN_080MSTI033123,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,12,7,,,import_week_list,SLPRN_OSLP2405X01BU62,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e BATCH_PROCESS_TARGET=""62/10"" -e OUTBOUND_ID=OSLP2405X01BU62 -m import-week-list"
SLPRN_080MSTI03313,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,6,7,,,import_week_list,SLPRN_OSLP2405X01BU10,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2405X01BU10 -m import-week-list -e BATCH_PROCESS_TARGET=""10/10"""
SLPRN_080MSTI033132,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,14,7,,,import_week_list,SLPRN_OSLP2405X01BU63,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e BATCH_PROCESS_TARGET=""63/06"" -e OUTBOUND_ID=OSLP2405X01BU63 -m import-week-list"
SLPRN_080MSTI03314,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,10,7,,,import_week_list,SLPRN_OSLP2405X01BU05,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e BATCH_PROCESS_TARGET=""5/05"" -e OUTBOUND_ID=OSLP2405X01BU05 -m import-week-list"
SLPRN_OSLP2405X01BU01,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,2,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU01/OSLP2405X01BU01_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU05,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,10,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU05/OSLP2405X01BU05_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU06,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,8,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU06/OSLP2405X01BU06_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU10,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,6,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU10/OSLP2405X01BU10_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU60,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,4,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU60/OSLP2405X01BU60_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU62,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,12,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU62/OSLP2405X01BU62_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2405X01BU63,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2405X010001,j,14,2,,,file_monitor week_list,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2405X01BU63/OSLP2405X01BU63_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2821X010001,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,79,9,60,50,monthly_sales_inventory_plan_by_store_by_g_department,,,pajsm21,しない,n,1,,n,,,,1,24:30:00,1日毎,,,,
SLPRN_080MSTI0351,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2821X010001,j,1,7,,,import_monthly_sales_inventory_plan_by_store_by_g_department,SLPRN_OSLP2821X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2821X01BU01 -m import-monthly-sales-inventory-plan-by-store-by-g-department -e BATCH_PROCESS_TARGET=""1"""
SLPRN_OSLP2821X01BU01,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2821X010001,j,1,2,,,file_monitor monthly_sales_inventory_plan_by_store_by_g_department,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2821X01BU01/OSLP2821X01BU01_{year}{month}{day}-*.zip -t 5h
SLP01N_OSLP2821X010001_GU,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,65,9,60,50,monthly_sales_inventory_plan_by_store_by_g_department,,,pajsm21,しない,n,1,,n,,,,1,26:00:00,1日毎,,,,
SLPRN_080MSTI0351,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2821X010001_GU,j,1,7,,,import_monthly_sales_inventory_plan_by_store_by_g_department,SLPRN_OSLP2821X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2821X01BU60 -m import-monthly-sales-inventory-plan-by-store-by-g-department -e BATCH_PROCESS_TARGET=""60"""
SLPRN_OSLP2821X01BU60,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2821X010001_GU,j,1,2,,,file_monitor monthly_sales_inventory_plan_by_store_by_g_department,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2821X01BU60/OSLP2821X01BU60_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2822X010001,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,81,9,60,50,weekly_sales_and_inventory_planning_by_store_by_g_dept,,,pajsm21,しない,n,1,,n,,,,1,24:30:00,1日毎,,,,
SLPRN_080MSTI0362,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2822X010001,j,1,7,,,import_weekly_sales_and_inventory_planning_by_store_by_g_dept,SLPRN_OSLP2822X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2822X01BU01 -m import-weekly-sales-and-inventory-planning-by-store-by-g-dept -e BATCH_PROCESS_TARGET=""1"""
SLPRN_OSLP2822X01BU01,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2822X010001,j,1,2,,,file_monitor weekly_sales_and_inventory_planning_by_store_by_g_dept,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2822X01BU01/OSLP2822X01BU01_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2822X010001_GU,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,67,9,60,50,weekly_sales_and_inventory_planning_by_store_by_g_dept,,,pajsm21,しない,n,1,,n,,,,1,26:00:00,1日毎,,,,
SLPRN_080MSTI0362,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2822X010001_GU,j,1,7,,,import_weekly_sales_and_inventory_planning_by_store_by_g_dept,SLPRN_OSLP2822X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2822X01BU60 -m import-weekly-sales-and-inventory-planning-by-store-by-g-dept -e BATCH_PROCESS_TARGET=""60"""
SLPRN_OSLP2822X01BU60,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2822X010001_GU,j,1,2,,,file_monitor weekly_sales_and_inventory_planning_by_store_by_g_dept,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2822X01BU60/OSLP2822X01BU60_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2823X010001,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,83,9,60,50,weekly-delivery-ratio-by-store-by-sales-sum,,,pajsm21,しない,n,1,,n,,,,1,24:30:00,1日毎,,,,
SLPRN_080MSTI0332,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2823X010001,j,1,8,,,import-weekly-delivery-ratio-by-store-by-sales-sum,SLPRN_OSLP2823X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2823X01BU01 -m import-weekly-delivery-ratio-by-store-by-sales-sum -e BATCH_PROCESS_TARGET=""1"""
SLPRN_OSLP2823X01BU01,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2823X010001,j,1,2,,,file_monitor weekly-delivery-ratio-by-store-by-sales-sum,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2823X01BU01/OSLP2823X01BU01_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2823X010001_GU,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,69,9,60,50,weekly-delivery-ratio-by-store-by-sales-sum,,,pajsm21,しない,n,1,,n,,,,1,26:00:00,1日毎,,,,
SLPRN_080MSTI0332,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2823X010001_GU,j,1,8,,,import-weekly-delivery-ratio-by-store-by-sales-sum,SLPRN_OSLP2823X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2823X01BU60 -m import-weekly-delivery-ratio-by-store-by-sales-sum -e BATCH_PROCESS_TARGET=""60"""
SLPRN_OSLP2823X01BU60,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2823X010001_GU,j,1,2,,,file_monitor weekly-delivery-ratio-by-store-by-sales-sum,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2823X01BU60/OSLP2823X01BU60_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2825X010001,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,85,9,60,50,non-delivery-days-by-store-by-g-department,,,pajsm21,しない,n,1,,n,,,,1,24:30:00,1日毎,,,,
SLPRN_080MSTI0357,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2825X010001,j,1,7,,,import-non-delivery-days-by-store-by-g-department,SLPRN_OSLP2825X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2825X01BU01 -m import-non-delivery-days-by-store-by-g-department -e BATCH_PROCESS_TARGET=""1"""
SLPRN_OSLP2825X01BU01,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2825X010001,j,1,2,,,file_monitor non-delivery-days-by-store-by-g-department,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2825X01BU01/OSLP2825X01BU01_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2825X010001_GU,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,71,9,60,50,non-delivery-days-by-store-by-g-department,,,pajsm21,しない,n,1,,n,,,,1,25:30:00,1日毎,,,,
SLPRN_080MSTI0357,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2825X010001_GU,j,1,7,,,import-non-delivery-days-by-store-by-g-department,SLPRN_OSLP2825X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -e OUTBOUND_ID=OSLP2825X01BU60 -m import-non-delivery-days-by-store-by-g-department -e BATCH_PROCESS_TARGET=""60"""
SLPRN_OSLP2825X01BU60,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2825X010001_GU,j,1,2,,,file_monitor non-delivery-days-by-store-by-g-department,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2825X01BU60/OSLP2825X01BU60_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2851X01,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,2,9,60,50,g_dept_class_master_and_g_dept_class_linkage_master,SLP01N_PARTION_ABOLISH,seq,pajsm21,しない,n,1,,y,,,,,,,,,,
SLPRN_080MSTI03171,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,4,8,,,import_group_department_master,SLPRN_OSLP2851X01GBU01TZ32,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-group-department-master -e BATCH_PROCESS_TARGET=""1/32"" -e OUTBOUND_ID=OSLP2851X01GBU01TZ32TKY"
SLPRN_080MSTI03172,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,8,8,,,import_group_department_master,SLPRN_OSLP2851X01GBU01TZ33,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-group-department-master -e BATCH_PROCESS_TARGET=""1/33"" -e OUTBOUND_ID=OSLP2851X01GBU01TZ33TKY"
SLPRN_080MSTI03173,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,12,8,,,import_group_department_master,SLPRN_OSLP2851X01GBU05TZ92,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-group-department-master -e BATCH_PROCESS_TARGET=""5/92"" -e OUTBOUND_ID=OSLP2851X01GBU05TZ92TKY"
SLPRN_080MSTI031732,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,16,8,,,import_group_department_master,SLPRN_OSLP2851X01GBU05TZ93,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-group-department-master -e BATCH_PROCESS_TARGET=""5/93"" -e OUTBOUND_ID=OSLP2851X01GBU05TZ93TKY"
SLPRN_080MSTI03181,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,2,8,,,import_g_department_link_master,SLPRN_OSLP2851X01GBU01TZ32,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-g-department-link-master -e BATCH_PROCESS_TARGET=""1/32"" -e OUTBOUND_ID=OSLP2851X01GBU01TZ32TKY"
SLPRN_080MSTI03182,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,6,8,,,import_g_department_link_master,SLPRN_OSLP2851X01GBU01TZ33,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-g-department-link-master -e BATCH_PROCESS_TARGET=""1/33"" -e OUTBOUND_ID=OSLP2851X01GBU01TZ33TKY"
SLPRN_080MSTI03183,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,10,8,,,import_g_department_link_master,SLPRN_OSLP2851X01GBU05TZ92,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-g-department-link-master -e BATCH_PROCESS_TARGET=""5/92"" -e OUTBOUND_ID=OSLP2851X01GBU05TZ92TKY"
SLPRN_080MSTI031832,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,14,8,,,import_g_department_link_master,SLPRN_OSLP2851X01GBU05TZ93,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-g-department-link-master -e BATCH_PROCESS_TARGET=""5/93"" -e OUTBOUND_ID=OSLP2851X01GBU05TZ93TKY"
SLPRN_OSLP2851X01GBU01TZ32,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,2,3,,,file_monitor g_dept_class_master_and_g_dept_class_linkage_master,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2851X01GBU01TZ32TKY/OSLP2851X01GBU01TZ32TKY_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2851X01GBU01TZ33,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,6,3,,,file_monitor g_dept_class_master_and_g_dept_class_linkage_master,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2851X01GBU01TZ33TKY/OSLP2851X01GBU01TZ33TKY_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2851X01GBU05TZ92,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,10,3,,,file_monitor g_dept_class_master_and_g_dept_class_linkage_master,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2851X01GBU05TZ92TKY/OSLP2851X01GBU05TZ92TKY_{year}{month}{day}-*.zip -t 8h
SLPRN_OSLP2851X01GBU05TZ93,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2851X01,j,14,3,,,file_monitor g_dept_class_master_and_g_dept_class_linkage_master,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2851X01GBU05TZ93TKY/OSLP2851X01GBU05TZ93TKY_{year}{month}{day}-*.zip -t 8h
SLP01N_OSLP2852X01,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,36,9,60,50,type_master,SLP01N_PARTION_ABOLISH,seq,pajsm21,しない,n,1,,y,,,,,,,,,,
SLPRN_080MSTI0300,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,1,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU01,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""1/01"" -e OUTBOUND_ID=OSLP2852X01BU01"
SLPRN_080MSTI03002,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,3,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU05,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""5/05"" -e OUTBOUND_ID=OSLP2852X01BU05"
SLPRN_080MSTI03003,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,5,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU63,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""63/06"" -e OUTBOUND_ID=OSLP2852X01BU63"
SLPRN_080MSTI03004,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,7,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU60,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""60/01"" -e OUTBOUND_ID=OSLP2852X01BU60"
SLPRN_080MSTI03006,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,9,6,,,import_common_code_aim,SLPRN_OSLP0002E01BU62,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""62/10"" -e OUTBOUND_ID=OSLP2852X01BU62"
SLPRN_080MSTI03007,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,11,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU06,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""6/06,6/26"" -e OUTBOUND_ID=OSLP2852X01BU06"
SLPRN_080MSTI03008,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,13,6,,,import_common_code_aim,SLPRN_OSLP2852X01BU10,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m import-common-code-aim -e BATCH_PROCESS_TARGET=""10/10"" -e OUTBOUND_ID=OSLP2852X01BU10"
SLPRN_OSLP0002E01BU62,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_OSLP2852X01,j,9,2,,,file_monitor type_master,,,pajsm21,,,,,,,,,,,,,,,ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/wait-file.sh -f BIF/{year}{month}{day}/OSLP2852X01BU62/OSLP2852X01BU62_{year}{month}{day}-*.csv -t 4h
